"year","province","MR","DR","POP","GDP","INC","CON","CPI","HEET","HP","UR","GR","SAV","MN","DN","GDPC","SAVPG"
2014,"青海省",0.01852487135506,0.00428816466552316,583,2303.32,14373.98,12604.8,102.8,1220,4294,3.2,1.09,1640.7,5.4,1.25,3.95080617495712,0.712319608217703
2018,"湖北省",0.0177298931515595,0.00692796649953973,5917,39366.55,25814.54,19537.79,101.9,3085.75,7333.77055555559,2.09722222222229,5.10095238095238,24582.4161904771,52.4538888888887,20.4963888888883,6.65312658441778,0.624449340632519
2013,"海南省",0.0203798882681564,0.00294972067039106,895,3177.56,15733.28,11192.88,102.8,2253,8633,2.2,11.71,2465.4,9.12,1.32,3.55034636871508,0.77587834690769
2018,"广东省",0.0139230174119122,0.00413831599976493,11346,97277.77,35809.9,26053.98,102.2,2578.33333333334,11665.7274999998,2.44722222222222,17.0068671679196,70675.4238095265,78.9852777777778,23.4766666666665,8.57375022034197,0.726532113241561
2015,"北京市",0.0152924919391985,0.00757254721326578,2171,23014.59,48457.99,33802.77,101.8,5218,22300,1.4,9.45,23914,16.6,8.22,10.6009166282819,1.03907999230054
2017,"安徽省",0.0215443645083933,0.0077410071942446,6255,27018,21863.3,15751.74,101.2,2250,6137,2.9,4.92,19387.7600000007,67.38,24.21,4.31942446043165,0.717586793989219
2011,"广西壮族自治区",0.0212400430570506,0.00334122712594187,4645,11720.87,11081.347619046,7226.11923809443,105.9,1688,3553.96,3.5,9.97,6654,49.33,7.76,2.52333046286329,0.567705298326831
2018,"山东省",0.0122496488725213,0.00574881390796588,10047,76469.67,29204.61,18779.77,102.5,2647.47222222223,6388.8075,3.39166666666666,3.63937343358396,46078.0752380975,61.5361111111106,28.8791666666666,7.611194386384,0.602566680856573
2010,"辽宁省",0.01472,0.00585142857142857,4375,18457.27,15723.9537142836,10766.6557142842,103,2671,4303,3.6,1.48263157894735,13690.3,32.2,12.8,4.21880457142857,0.741729410687496
2009,"海南省",0.0300925925925926,0.00252314814814815,864,1654.21,8642.35361904511,6427.4658095222,99.3,2001,6291,3.5,14.17,1282.9,13,1.09,1.91459490740741,0.775536358745262
2009,"江西省",0.0184160649819495,0.00277527075812274,4432,7655.18,7814.76399999671,5476.66876190342,99.3,2118,2517,3.4,4.77,5092.7,40.81,6.15,1.72725180505415,0.66526195334401
2018,"甘肃省",0.0179421059284541,0.00435006109636367,2637,8246.07,17488.39,14623.95,102,2343.86111111111,5599.97222222213,1.98611111111109,4.30030075187972,9553.0400000005,23.6566666666668,5.73555555555549,3.12706484641638,1.15849610784295
2013,"贵州省",0.0245459737292975,0.00489434608794974,3502,8086.86,11083.06,8288,102.5,1535,3735,3.3,7.05,5919.1,42.98,8.57,2.30921187892633,0.731940456493621
2016,"广东省",0.0142940267297027,0.00385307755250477,10999,80854.91,30295.8,23448.42,102.3,2431,10936,2.5,13.02,62055.8523809537,78.61,21.19,7.35111464678607,0.767496400415927
2014,"内蒙古自治区",0.0173093812375249,0.00705788423153693,2505,17770.19,20559.34,16258.12,101.6,2156,3833,3.6,3.90000000000001,8013.7,21.68,8.84,7.09388822355289,0.45096310168884
2012,"陕西省",0.0199094058086864,0.00378363975486278,3753,14453.68,12607.6459999988,10219.4973333324,102.8,3525,4803.05,3.2,7.08,10770,37.36,7.1,3.85123367972289,0.745138954231725
2010,"内蒙古自治区",0.0164239482200647,0.00461165048543689,2472,11672,12821.1987619027,12330.531047618,103.2,1884,2983,3.9,4.12308270676687,4618.1,20.3,5.7,4.72168284789644,0.39565627141878
2015,"广西壮族自治区",0.0175688073394495,0.00435362802335279,4796,16803.12,16873.42,11401,101.5,2178,4587,2.9,5.56999999999999,11165.5800000001,42.13,10.44,3.50356964136781,0.664494451030527
2015,"贵州省",0.0279093484419263,0.00614164305949009,3530,10502.56,13696.61,10413.75,101.8,1819,3629,3.3,7.12,7395.20666666701,49.26,10.84,2.97522946175637,0.704133722317893
2009,"内蒙古自治区",0.0153295362082994,0.00423108218063466,2458,9740.25,10901.5124761881,11390.7079047607,99.7,1794,2649,4,5.01000000000001,3914,18.84,5.2,3.96267290480065,0.401837735171069
2011,"浙江省",0.0161413142961743,0.0042174629324547,5463,32318.85,23064.1536190445,17269.0412380933,105.4,2218,9801.15,3.1,-4.23,23470.3,44.09,11.52,5.91595277320154,0.726210864557371
2015,"西藏自治区",0.00950617283950617,0.00148148148148148,324,1026.39,12254.3,8245.76,102,1766,3605,2.5,2.33,622.213333333319,1.54,0.24,3.16787037037037,0.606215311268931
2016,"河南省",0.0203315148971884,0.00582249265631557,9532,40471.79,18443.08,12712.34,101.9,2352,4774,3,3.89,26879.5657142866,96.9,27.75,4.24588648762065,0.664155593668742
