"","zipcode","total","information","professional","per"
"282",91202,5968,16,401,0.069872654155496
"283",91203,23498,438,3568,0.170482594263342
"284",91204,15845,96,615,0.0448721994319975
"285",91205,12225,189,517,0.0577505112474438
"286",91206,13027,28,282,0.0237967298687342
"287",91207,1389,25,92,0.0842332613390929
"288",91208,4543,13,285,0.0655954215276249
"289",91209,1057,0,11,0.010406811731315
"290",91210,5607,113,171,0.0506509719992866
"291",91214,5080,17,305,0.0633858267716535
"292",91221,209,NA,0,NA
"293",91222,21,NA,0,NA
"294",91224,27,NA,0,NA
"295",91225,30,0,NA,NA
"296",91226,20,NA,0,NA
"297",91301,13824,476,2123,0.188006365740741
"298",91302,17671,600,2469,0.173674381755418
"299",91303,12888,151,479,0.0488826815642458
"300",91304,13780,302,605,0.0658200290275762
"301",91305,194,NA,0,NA
"302",91306,5462,0,105,0.0192237275723178
"303",91307,7273,111,182,0.0402859892754022
"304",91308,87,NA,22,NA
"305",91309,17,0,NA,NA
"306",91310,222,NA,NA,NA
"307",91311,35907,887,1659,0.0709053944913248
"308",91313,389,NA,0,NA
"309",91316,9676,132,842,0.100661430343117
"310",91321,8827,177,284,0.0522261243910728
"311",91322,372,0,0,0
"312",91324,18841,138,648,0.041717530916618
"313",91325,11403,54,171,0.0197316495659037
"314",91326,4271,42,199,0.0564270662608288
"315",91327,50,NA,9,NA
"316",91328,1920,NA,0,NA
"317",91330,7080,NA,NA,NA
"318",91331,14248,175,223,0.0279337450870298
"319",91333,4,NA,NA,NA
"320",91334,15,NA,NA,NA
"321",91335,13033,0,200,0.0153456610143482
"322",91337,20,NA,NA,NA
"323",91340,14644,154,463,0.0421332969134116
"324",91341,150,NA,NA,NA
"325",91342,23929,28,281,0.012913201554599
"326",91343,9767,41,203,0.0249820825227808
"327",91344,10771,28,391,0.0389007520193111
"328",91345,6276,9,260,0.042861695347355
"329",91346,2473,NA,0,NA
"330",91350,10679,51,414,0.0435434029403502
"331",91351,8378,163,287,0.053712103127238
"332",91352,19578,53,414,0.0238533047297988
"333",91353,195,NA,0,NA
"334",91354,2105,25,197,0.105463182897862
"335",91355,56410,574,3490,0.0720439638361993
"336",91356,13513,145,987,0.0837711833049656
"337",91357,276,0,24,0.0869565217391304
"338",91361,15320,214,2160,0.154960835509138
"339",91362,21433,257,2062,0.108197639154575
"340",91364,18258,278,1671,0.10674772702377
"341",91365,261,NA,0,NA
"342",91367,40491,919,5298,0.153540292904596
"343",91372,71,0,0,0
"344",91376,81,0,2,0.0246913580246914
"345",91380,257,0,0,0
"346",91381,4765,27,238,0.055613850996852
"347",91382,19,NA,NA,NA
"348",91383,1183,NA,NA,NA
"349",91384,2227,5,77,0.0368208352043107
"350",91385,10,NA,NA,NA
"351",91386,38,NA,0,NA
