"","id","county","chci09","chci10","chci11","chci12","chci13","chci14","chci15","chci16","chci17","pop09","pop10","pop11","pop12","pop13","pop14","pop15","pop16","pop17","chcig","chcigr","popg","popgr"
"1038",21089,"Greenup County, Kentucky",127.55,129.05,129.11,130.14,130.54,130.27,132.18,133.37,134.21,26413,25806,25904,25908,25908,25858,25779,25679,25554,6.65999999999998,0.0522148177185416,-859,-0.0325218642335214
"1039",21091,"Hancock County, Kentucky",127.04,127.15,127.1,127.39,127.27,128.14,128.54,129.04,128.22,5719,5708,5720,5752,5770,5770,5795,5849,5803,1.17999999999999,0.00928841309823672,84,0.01468788249694
"1040",21093,"Hardin County, Kentucky",135.41,135.6,136.17,136.91,137.55,139.15,140.37,141.02,141.46,61958,64604,66146,67321,68174,69128,69451,69718,70244,6.05000000000001,0.0446791226645005,8286,0.133735756480196
"1041",21095,"Harlan County, Kentucky",117.8,118.29,118.71,119.58,120,119.94,121.59,121.85,121.29,21079,20301,20167,20019,19919,19715,19523,19405,19089,3.49000000000001,0.0296264855687607,-1990,-0.0944067555386878
"1042",21097,"Harrison County, Kentucky",125.58,126.27,125.71,126.72,126.36,126.15,126.69,127.8,128.62,12757,12790,12943,12958,12825,12793,12810,12805,12759,3.03999999999999,0.0242076763815894,2,0.000156776671631261
"1043",21099,"Hart County, Kentucky",114.36,116.36,116.97,117.63,118.07,119.64,120.45,121.85,123.2,12398,12191,12192,12251,12271,12336,12444,12537,12494,8.84,0.0772997551591466,96,0.00774318438457816
"1044",21101,"Henderson County, Kentucky",132.55,132.11,133.1,132.86,133.02,132.64,133.59,134.43,134.15,31008,31323,31462,31596,31722,31853,32024,31966,31892,1.60000000000002,0.0120709166352322,884,0.0285087719298246
"1045",21103,"Henry County, Kentucky",126.79,127.33,126.81,126.45,126.04,124.94,125.29,125.99,126.38,10822,10491,10492,10490,10499,10526,10549,10635,10691,-0.409999999999997,-0.00323369350895178,-131,-0.0121049713546479
"1046",21105,"Hickman County, Kentucky",126.25,127.25,125.51,125.04,124.21,126.64,123.82,119.62,120.84,3490,3569,3590,3497,3485,3456,3399,3304,3297,-5.40999999999998,-0.0428514851485147,-193,-0.0553008595988539
"1047",21107,"Hopkins County, Kentucky",126.4,125.94,126.86,129.03,129.13,129.59,131.06,131.21,131.68,31994,32328,32518,32593,32516,32310,32279,32189,31931,5.28,0.0417721518987342,-63,-0.00196911920985185
"1048",21109,"Jackson County, Kentucky",112.29,109.31,110.1,112.68,115.23,116.05,118.93,121.62,120.38,9197,9245,9275,9260,9251,9264,9241,9273,9173,8.09,0.0720455962240627,-24,-0.00260954659127977
"1049",21111,"Jefferson County, Kentucky",142.97,143.27,144.25,145.05,145.74,146.24,147.05,147.48,148.07,481847,493092,498002,502301,507007,511378,515934,520121,524906,5.10000000000002,0.0356718192627826,43059,0.0893623909664271
"1050",21113,"Jessamine County, Kentucky",140.49,141.41,140.93,141.42,141.38,142.16,143.27,142.8,144.67,29246,30075,30645,31042,31473,31948,32484,33007,33487,4.18000000000001,0.0297530073314827,4241,0.145011283594338
"1051",21115,"Johnson County, Kentucky",119.05,118.41,118.96,119.81,121.02,122.61,123.8,125.34,128.95,16230,16091,16121,16200,16229,16190,16189,16204,16083,9.89999999999999,0.0831583368332633,-147,-0.00905730129390019
"1052",21117,"Kenton County, Kentucky",141.68,141.54,141.86,143.12,144.3,144.22,144.49,144.57,145.34,103749,104296,105071,106148,107136,107983,109078,110045,110904,3.66000000000003,0.0258328627893847,7155,0.0689645201399532
