,id,county,chci09,chci10,chci11,chci12,chci13,chci14,chci15,chci16,chci17,pop09,pop10,pop11,pop12,pop13,pop14,pop15,pop16,pop17,chcig,chcigr,popg,popgr,fips
885,19189,"Winnebago County, Iowa",133.82,136.97,137.82,136.69,136.68,139.23,138.22,138.82,138.92,7278,7537,7540,7488,7497,7471,7390,7372,7305,5.1,0.038110895,27,0.00370981,19189
886,19191,"Winneshiek County, Iowa",141.53,141.68,142.85,142.85,143.46,143.94,145.6,145.88,147.01,12980,13150,13279,13356,13426,13552,13571,13571,13462,5.48,0.038719706,482,0.037134052,19191
887,19193,"Woodbury County, Iowa",134.49,134.73,134.37,134.81,134.66,135.04,135.22,136.1,136.38,64231,63764,64068,64212,64463,64801,65099,65067,65199,1.89,0.014053089,968,0.015070605,19193
888,19195,"Worth County, Iowa",133.63,134.42,135.23,135.09,136.26,135.5,135.23,135.43,135.12,5367,5357,5384,5357,5362,5366,5358,5316,5244,1.49,0.011150191,-123,-0.022917831,19195
889,19197,"Wright County, Iowa",130.57,132.65,130.69,131.54,133.47,134.88,134.59,134.85,135.01,9058,9284,9253,9229,9123,9075,9010,8968,8954,4.44,0.034004748,-104,-0.011481563,19197
890,20001,"Allen County, Kansas",134.12,135.78,134.57,135.17,134.52,135.4,136.82,137.11,138.43,9058,8964,8954,8960,8987,8942,8825,8782,8625,4.31,0.032135401,-433,-0.047803047,20001
891,20003,"Anderson County, Kansas",131.31,131.2,130.04,133.72,134.8,134.62,134.97,138.03,137.08,5297,5470,5508,5486,5449,5404,5364,5357,5361,5.77,0.043941817,64,0.012082311,20003
892,20005,"Atchison County, Kansas",136.85,137.3,136.92,137.23,138.92,137.31,138.12,138.02,139.15,10297,10412,10312,10319,10335,10241,10150,10273,10127,2.3,0.016806723,-170,-0.016509663,20005
893,20007,"Barber County, Kansas",139.04,137.1,137.98,138.26,138.07,137.01,138.96,138.31,139.35,3355,3480,3472,3468,3475,3477,3362,3391,3411,0.31,0.002229574,56,0.016691505,20007
894,20009,"Barton County, Kansas",135.04,135.09,133.89,133.42,133.99,133.28,132.86,133.35,134.19,18213,18170,18326,18389,18360,18326,18207,18177,18253,-0.85,-0.006294431,40,0.002196233,20009
895,20011,"Bourbon County, Kansas",137.65,136.49,137.76,139.35,138.05,137.84,139.14,139.69,137.39,9862,9841,9824,9883,9881,9728,9569,9562,9565,-0.26,-0.001888849,-297,-0.030115595,20011
896,20013,"Brown County, Kansas",132.14,132.54,132.9,133.89,136.45,137.95,138.61,139.09,139.71,6722,6748,6768,6770,6771,6743,6694,6675,6564,7.57,0.057287725,-158,-0.023504909,20013
897,20015,"Butler County, Kansas",141.68,142.39,143.07,143.6,144.53,145.41,145.61,146.33,146.67,40674,41328,41870,41985,42155,42498,42787,43118,43322,4.99,0.035220215,2648,0.065103014,20015
898,20017,"Chase County, Kansas",136.03,135.27,134.26,137.11,139.41,141.01,139.88,140.53,141.66,1993,1964,1980,1961,1948,1965,1930,1908,1855,5.63,0.041387929,-138,-0.069242348,20017
